region,comuna,total_personas,total_monto
1,ALTO HOSPICIO,55.0,11110.0
1,CAMIÑA,2.0,404.0
1,COLCHANE,1.0,202.0
1,HUARA,0.0,0.0
1,IQUIQUE,214.0,43228.0
1,PICA,12.0,2424.0
1,POZO ALMONTE,6.0,1212.0
2,ANTOFAGASTA,349.0,70498.0
2,CALAMA,103.0,20806.0
2,MARIA ELENA,4.0,808.0
2,MEJILLONES,12.0,2424.0
2,OLLAGUE,0.0,0.0
2,SAN PEDRO DE ATACAMA,6.0,1212.0
2,SIERRA GORDA,2.0,404.0
2,TALTAL,12.0,2424.0
2,TOCOPILLA,26.0,5252.0
3,ALTO DEL CARMEN,2.0,404.0
3,CALDERA,24.0,4848.0
3,CHAÑARAL,18.0,3636.0
3,COPIAPO,167.0,33734.0
3,DIEGO DE ALMAGRO,14.0,2828.0
3,FREIRINA,10.0,2020.0
3,HUASCO,12.0,2424.0
3,TIERRA AMARILLA,11.0,2222.0
3,VALLENAR,92.0,18584.0
4,ANDACOLLO,18.0,3636.0
4,CANELA,18.0,3636.0
4,COMBARBALA,30.0,6060.0
4,COQUIMBO,363.0,73326.0
4,ILLAPEL,62.0,12524.0
4,LA HIGUERA,18.0,3636.0
4,LA SERENA,360.0,72720.0
4,LOS VILOS,32.0,6464.0
4,MONTE PATRIA,52.0,10504.0
4,OVALLE,178.0,35956.0
4,PAIHUANO,6.0,1212.0
4,PUNITAQUI,18.0,3636.0
4,RIO HURTADO,13.0,2626.0
4,SALAMANCA,44.0,8888.0
4,VICUÑA,50.0,10100.0
5,ALGARROBO,41.0,8282.0
5,CABILDO,32.0,6464.0
5,CALLE LARGA,11.0,2222.0
5,CARTAGENA,50.0,10100.0
5,CASABLANCA,30.0,6060.0
5,CATEMU,19.0,3838.0
5,CONCON,54.0,10908.0
5,EL QUISCO,66.0,13332.0
5,EL TABO,58.0,11716.0
5,HIJUELAS,40.0,8080.0
5,ISLA DE PASCUA,0.0,0.0
5,JUAN FERNANDEZ,0.0,0.0
5,LA CALERA,80.0,16160.0
5,LA CRUZ,30.0,6060.0
5,LA LIGUA,67.0,13534.0
5,LIMACHE,81.0,16362.0
5,LLAY-LLAY,51.0,10302.0
5,LOS ANDES,124.0,25048.0
5,NOGALES,41.0,8282.0
5,OLMUE,36.0,7272.0
5,PANQUEHUE,11.0,2222.0
5,PAPUDO,10.0,2020.0
5,PETORCA,13.0,2626.0
5,PUCHUNCAVI,43.0,8686.0
5,PUTAENDO,26.0,5252.0
5,QUILLOTA,133.0,26866.0
5,QUILPUE,367.0,74134.0
5,QUINTERO,46.0,9292.0
5,RINCONADA,23.0,4646.0
5,SAN ANTONIO,159.0,32118.0
5,SAN ESTEBAN,48.0,9696.0
5,SAN FELIPE,112.0,22624.0
5,SANTA MARIA,18.0,3636.0
5,SANTO DOMINGO,22.0,4444.0
5,VALPARAISO,488.0,98576.0
5,VILLA ALEMANA,235.0,47470.0
5,VIÑA DEL MAR,453.0,91506.0
5,ZAPALLAR,16.0,3232.0
6,CHEPICA,26.0,5252.0
6,CHIMBARONGO,92.0,18584.0
6,CODEGUA,18.0,3636.0
6,COINCO,17.0,3434.0
6,COLTAUCO,40.0,8080.0
6,DOÑIHUE,31.0,6262.0
6,GRANEROS,48.0,9696.0
6,LA ESTRELLA,13.0,2626.0
6,LAS CABRAS,48.0,9696.0
6,LITUECHE,15.0,3030.0
6,LOLOL,24.0,4848.0
6,MACHALI,60.0,12120.0
6,MALLOA,36.0,7272.0
6,MARCHIHUE,14.0,2828.0
6,MOSTAZAL,48.0,9696.0
6,NANCAGUA,33.0,6666.0
6,NAVIDAD,22.0,4444.0
6,OLIVAR,13.0,2626.0
6,PALMILLA,44.0,8888.0
6,PAREDONES,22.0,4444.0
6,PERALILLO,35.0,7070.0
6,PEUMO,25.0,5050.0
6,PICHIDEGUA,58.0,11716.0
6,PICHILEMU,46.0,9292.0
6,PLACILLA,10.0,2020.0
6,PUMANQUE,22.0,4444.0
6,QUINTA DE TILCOCO,26.0,5252.0
6,RANCAGUA,362.0,73124.0
6,RENGO,120.0,24240.0
6,REQUINOA,38.0,7676.0
6,SAN FERNANDO,137.0,27674.0
6,SAN VICENTE,98.0,19796.0
6,SANTA CRUZ,68.0,13736.0
7,CAUQUENES,112.0,22624.0
7,CHANCO,21.0,4242.0
7,COLBUN,54.0,10908.0
7,CONSTITUCION,82.0,16564.0
7,CUREPTO,26.0,5252.0
7,CURICO,272.0,54944.0
7,EMPEDRADO,4.0,808.0
7,HUALAÑE,28.0,5656.0
7,LICANTEN,12.0,2424.0
7,LINARES,166.0,33532.0
7,LONGAVI,74.0,14948.0
7,MAULE,52.0,10504.0
7,MOLINA,74.0,14948.0
7,PARRAL,88.0,17776.0
7,PELARCO,26.0,5252.0
7,PELLUHUE,13.0,2626.0
7,PENCAHUE,12.0,2424.0
7,RAUCO,22.0,4444.0
7,RETIRO,52.0,10504.0
7,RIO CLARO,34.0,6868.0
7,ROMERAL,22.0,4444.0
7,SAGRADA FAMILIA,39.0,7878.0
7,SAN CLEMENTE,99.0,19998.0
7,SAN JAVIER,71.0,14342.0
7,SAN RAFAEL,23.0,4646.0
7,TALCA,372.0,75144.0
7,TENO,46.0,9292.0
7,VICHUQUEN,10.0,2020.0
7,VILLA ALEGRE,26.0,5252.0
7,YERBAS BUENAS,48.0,9696.0
8,ALTO BIO BIO,6.0,1212.0
8,ANTUCO,18.0,3636.0
8,ARAUCO,47.0,9494.0
8,CABRERO,55.0,11110.0
8,CAÑETE,75.0,15150.0
8,CHIGUAYANTE,134.0,27068.0
8,CONCEPCION,304.0,61408.0
8,CONTULMO,17.0,3434.0
8,CORONEL,215.0,43430.0
8,CURANILAHUE,67.0,13534.0
8,FLORIDA,23.0,4646.0
8,HUALPEN,150.0,30300.0
8,HUALQUI,33.0,6666.0
8,LAJA,65.0,13130.0
8,LEBU,34.0,6868.0
8,LOS ALAMOS,48.0,9696.0
8,LOS ANGELES,388.0,78376.0
8,LOTA,100.0,20200.0
8,MULCHEN,66.0,13332.0
8,NACIMIENTO,50.0,10100.0
8,NEGRETE,17.0,3434.0
8,PENCO,104.0,21008.0
8,QUILACO,8.0,1616.0
8,QUILLECO,16.0,3232.0
8,SAN PEDRO DE LA PAZ,213.0,43026.0
8,SAN ROSENDO,2.0,404.0
8,SANTA BARBARA,34.0,6868.0
8,SANTA JUANA,24.0,4848.0
8,TALCAHUANO,284.0,57368.0
8,TIRUA,8.0,1616.0
8,TOME,139.0,28078.0
8,TUCAPEL,16.0,3232.0
8,YUMBEL,46.0,9292.0
9,ANGOL,104.0,21008.0
9,CARAHUE,52.0,10504.0
9,CHOLCHOL,26.0,5252.0
9,COLLIPULLI,40.0,8080.0
9,CUNCO,52.0,10504.0
9,CURACAUTIN,54.0,10908.0
9,CURARREHUE,12.0,2424.0
9,ERCILLA,14.0,2828.0
9,FREIRE,61.0,12322.0
9,GALVARINO,19.0,3838.0
9,GORBEA,25.0,5050.0
9,LAUTARO,85.0,17170.0
9,LONCOCHE,55.0,11110.0
9,LONQUIMAY,26.0,5252.0
9,LOS SAUCES,9.0,1818.0
9,LUMACO,18.0,3636.0
9,MELIPEUCO,16.0,3232.0
9,NUEVA IMPERIAL,59.0,11918.0
9,PADRE LAS CASAS,99.0,19998.0
9,PERQUENCO,11.0,2222.0
9,PITRUFQUEN,48.0,9696.0
9,PUCON,36.0,7272.0
9,PUERTO SAAVEDRA,30.0,6060.0
9,PUREN,16.0,3232.0
9,RENAICO,32.0,6464.0
9,TEMUCO,420.0,84840.0
9,TEODORO SCHMIDT,41.0,8282.0
9,TOLTEN,24.0,4848.0
9,TRAIGUEN,24.0,4848.0
9,VICTORIA,65.0,13130.0
9,VILCUN,52.0,10504.0
9,VILLARRICA,90.0,18180.0
10,ANCUD,97.0,19594.0
10,CALBUCO,70.0,14140.0
10,CASTRO,54.0,10908.0
10,CHAITEN,6.0,1212.0
10,CHONCHI,17.0,3434.0
10,COCHAMO,0.0,0.0
10,CURACO DE VELEZ,6.0,1212.0
10,DALCAHUE,22.0,4444.0
10,FRESIA,30.0,6060.0
10,FRUTILLAR,30.0,6060.0
10,FUTALEUFU,2.0,404.0
10,HUALAIHUE,18.0,3636.0
10,LLANQUIHUE,28.0,5656.0
10,LOS MUERMOS,40.0,8080.0
10,MAULLIN,36.0,7272.0
10,OSORNO,270.0,54540.0
10,PALENA,0.0,0.0
10,PUERTO MONTT,333.0,67266.0
10,PUERTO OCTAY,10.0,2020.0
10,PUERTO VARAS,64.0,12928.0
10,PUQUELDON,2.0,404.0
10,PURRANQUE,38.0,7676.0
10,PUYEHUE,18.0,3636.0
10,QUEILEN,14.0,2828.0
10,QUELLON,22.0,4444.0
10,QUEMCHI,9.0,1818.0
10,QUINCHAO,17.0,3434.0
10,RIO NEGRO,33.0,6666.0
10,SAN JUAN DE LA COSTA,18.0,3636.0
10,SAN PABLO,20.0,4040.0
11,CHILE CHICO,14.0,2828.0
11,CISNES,2.0,404.0
11,COCHRANE,4.0,808.0
11,COYHAIQUE,80.0,16160.0
11,GUAITECAS,0.0,0.0
11,LAGO VERDE,0.0,0.0
11,O'HIGGINS,1.0,202.0
11,PUERTO AYSEN,27.0,5454.0
11,RIO IBAÑEZ,4.0,808.0
11,TORTEL,0.0,0.0
12,ANTARTICA,0.0,0.0
12,CABO DE HORNOS,0.0,0.0
12,LAGUNA BLANCA,0.0,0.0
12,PORVENIR,5.0,1010.0
12,PRIMAVERA,3.0,606.0
12,PUERTO NATALES,45.0,9090.0
12,PUNTA ARENAS,173.0,34946.0
12,RIO VERDE,0.0,0.0
12,SAN GREGORIO,0.0,0.0
12,TIMANKEL,0.0,0.0
12,TORRES DEL PAINE,0.0,0.0
13,ALHUE,2.0,404.0
13,BUIN,150.0,30300.0
13,CALERA DE TANGO,38.0,7676.0
13,CERRILLOS,97.0,19594.0
13,CERRO NAVIA,169.0,34138.0
13,COLINA,109.0,22018.0
13,CONCHALI,187.0,37774.0
13,CURACAVI,66.0,13332.0
13,EL BOSQUE,261.0,52722.0
13,EL MONTE,71.0,14342.0
13,ESTACION CENTRAL,124.0,25048.0
13,HUECHURABA,107.0,21614.0
13,INDEPENDENCIA,66.0,13332.0
13,ISLA DE MAIPO,51.0,10302.0
13,LA CISTERNA,156.0,31512.0
13,LA FLORIDA,640.0,129280.0
13,LA GRANJA,175.0,35350.0
13,LA PINTANA,273.0,55146.0
13,LA REINA,79.0,15958.0
13,LAMPA,76.0,15352.0
13,LAS CONDES,195.0,39390.0
13,LO BARNECHEA,36.0,7272.0
13,LO ESPEJO,126.0,25452.0
13,LO PRADO,135.0,27270.0
13,MACUL,183.0,36966.0
13,MAIPU,704.0,142208.0
13,MARIA PINTO,30.0,6060.0
13,MELIPILLA,269.0,54338.0
13,PADRE HURTADO,75.0,15150.0
13,PAINE,103.0,20806.0
13,PEDRO AGUIRRE CERDA,157.0,31714.0
13,PEÑAFLOR,131.0,26462.0
13,PEÑALOLEN,305.0,61610.0
13,PIRQUE,67.0,13534.0
13,PROVIDENCIA,80.0,16160.0
13,PUDAHUEL,242.0,48884.0
13,PUENTE ALTO,621.0,125442.0
13,QUILICURA,147.0,29694.0
13,QUINTA NORMAL,115.0,23230.0
13,RECOLETA,205.0,41410.0
13,RENCA,227.0,45854.0
13,SAN BERNARDO,373.0,75346.0
13,SAN JOAQUIN,161.0,32522.0
13,SAN JOSE DE MAIPO,18.0,3636.0
13,SAN MIGUEL,101.0,20402.0
13,SAN PEDRO,22.0,4444.0
13,SAN RAMON,139.0,28078.0
13,SANTIAGO,174.0,35148.0
13,TALAGANTE,86.0,17372.0
13,TILTIL,18.0,3636.0
13,VITACURA,26.0,5252.0
13,ÑUÑOA,159.0,32118.0
14,CORRAL,7.0,1414.0
14,FUTRONO,29.0,5858.0
14,LA UNION,90.0,18180.0
14,LAGO RANCO,8.0,1616.0
14,LANCO,32.0,6464.0
14,LOS LAGOS,33.0,6666.0
14,MAFIL,14.0,2828.0
14,PAILLACO,30.0,6060.0
14,PANGUIPULLI,72.0,14544.0
14,RIO BUENO,60.0,12120.0
14,SAN JOSE DE LA MARIQUINA,44.0,8888.0
14,VALDIVIA,257.0,51914.0
15,ARICA,274.0,55348.0
15,CAMARONES,0.0,0.0
15,GENERAL LAGOS,0.0,0.0
15,PUTRE,4.0,808.0
16,BULNES,58.0,11716.0
16,CHILLAN,321.0,64842.0
16,CHILLAN VIEJO,32.0,6464.0
16,COBQUECURA,13.0,2626.0
16,COELEMU,28.0,5656.0
16,COIHUECO,36.0,7272.0
16,EL CARMEN,30.0,6060.0
16,NINHUE,6.0,1212.0
16,PEMUCO,12.0,2424.0
16,PINTO,31.0,6262.0
16,PORTEZUELO,14.0,2828.0
16,QUILLON,38.0,7676.0
16,QUIRIHUE,19.0,3838.0
16,RANQUIL,18.0,3636.0
16,SAN CARLOS,84.0,16968.0
16,SAN FABIAN,12.0,2424.0
16,SAN IGNACIO,30.0,6060.0
16,SAN NICOLAS,26.0,5252.0
16,TREHUACO,16.0,3232.0
16,YUNGAY,40.0,8080.0
16,ÑIQUEN,28.0,5656.0
